Id,Firstname,Surname,Borncountry,Borncountry code,Born city,Gender,Year,Category,Motivation,Organization name,Organization city,Organization country,latitude,longitude
371,Georg,von Békésy,Hungary,HU,Budapest,male,1961,Medicine,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",Harvard University,Cambridge MA,USA,45.68753334,-112.4943339
386,Keffer,Hartline,USA,US,Bloomsburg PA,male,1967,Medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Rockefeller University,New York NY,USA,45.68753334,-112.4943339
148,Frederick,Reines,USA,US,Paterson NJ,male,1995,Physics,"""for the detection of the neutrino""",University of California,Irvine CA,USA,45.68753334,-112.4943339
151,Robert C.,Richardson,USA,US,Washington DC,male,1996,Physics,"""for their discovery of superfluidity in helium-3""",Cornell University,Ithaca NY,USA,45.68753334,-112.4943339
240,Gerhard,Herzberg,Germany,DE,Hamburg,male,1971,Chemistry,"""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals""",National Research Council of Canada,Ottawa,Canada,61.37656007,-98.29453737
241,Christian,Anfinsen,USA,US,Monessen PA,male,1972,Chemistry,"""for his work on ribonuclease especially concerning the connection between the amino acid sequence and the biologically active conformation""",National Institutes of Health,Bethesda MD,USA,45.68753334,-112.4943339
242,Stanford,Moore,USA,US,Chicago IL,male,1972,Chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",Rockefeller University,New York NY,USA,45.68753334,-112.4943339
260,Henry,Taube,Canada,CA,Neudorf,male,1983,Chemistry,"""for his work on the mechanisms of electron transfer reactions especially in metal complexes""",Stanford University,Stanford CA,USA,45.68753334,-112.4943339
303,Theodor,Kocher,Switzerland,CH,Bern,male,1909,Medicine,"""for his work on the physiology pathology and surgery of the thyroid gland""",Berne University,Bern,Switzerland,46.79908592,8.215912662
312,Otto,Meyerhof,Germany,DE,Hanover,male,1922,Medicine,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",Kiel University,Kiel,Germany,51.10627344,10.38171087
339,Sir Alexander,Fleming,Scotland,GB,Lochfield,male,1945,Medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases""",London University,London,United Kingdom,,
341,Sir Howard,Florey,Australia,AU,Adelaide,male,1945,Medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases""",University of Oxford,Oxford,United Kingdom,,
345,Bernardo,Houssay,Argentina,AR,Buenos Aires,male,1947,Medicine,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,-35.38747534,-65.17827082
351,Philip S.,Hench,USA,US,Pittsburgh PA,male,1950,Medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",Mayo Clinic,Rochester MN,USA,45.68753334,-112.4943339
360,André F.,Cournand,France,FR,Paris,male,1956,Medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital,New York NY,USA,45.68753334,-112.4943339
373,James,Watson,USA,US,Chicago IL,male,1962,Medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",Harvard University,Cambridge MA,USA,45.68753334,-112.4943339
380,François,Jacob,France,FR,Nancy,male,1965,Medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Institut Pasteur,Paris,France,42.18202918,-2.754422149
417,Allan M.,Cormack,South Africa,ZA,Johannesburg,male,1979,Medicine,"""for the development of computer assisted tomography""",Tufts University,Medford MA,USA,45.68753334,-112.4943339
447,Edwin G.,Krebs,USA,US,Lansing IA,male,1992,Medicine,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",University of Washington,Seattle WA,USA,45.68753334,-112.4943339
449,Phillip A.,Sharp,USA,US,Falmouth KY,male,1993,Medicine,"""for their discoveries of split genes""",Massachusetts Institute of Technology (MIT) Center for Cancer Research,Cambridge MA,USA,45.68753334,-112.4943339
486,Christian,Lange,Norway,NO,Stavanger,male,1921,Peace,"""for their lifelong contributions to the cause of peace and organized internationalism""",,,,,
490,Aristide,Briand,France,FR,Nantes,male,1926,Peace,"""for their crucial role in bringing about the Locarno Treaty""",,,,,
534,Andrei,Sakharov,Russia,RU,Moscow,male,1975,Peace,"""for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations""",,,,,
546,Desmond,Tutu,South Africa,ZA,Klerksdorp,male,1984,Peace,"""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa""",,,,,
712,John F.,Nash Jr.,USA,US,Bluefield WV,male,1994,Economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Princeton University,Princeton NJ,USA,45.68753334,-112.4943339
802,Andrew Z.,Fire,USA,US,Stanford CA,male,2006,Medicine,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",Stanford University School of Medicine,Stanford CA,USA,45.68753334,-112.4943339
821,Eric S.,Maskin,USA,US,New York NY,male,2007,Economics,"""for having laid the foundations of mechanism design theory""",Institute for Advanced Study,Princeton NJ,USA,45.68753334,-112.4943339
855,Xiaobo,Liu,China,CN,Changchun,male,2010,Peace,"""for his long and non-violent struggle for fundamental human rights in China""",,,,,
873,Christopher A.,Sims,USA,US,Washington DC,male,2011,Economics,"""for their empirical research on cause and effect in the macroeconomy""",Princeton University,Princeton NJ,USA,45.68753334,-112.4943339
921,Tomas,Lindahl,Sweden,SE,Stockholm,male,2015,Chemistry,"""for mechanistic studies of DNA repair""",Francis Crick Institute,Hertfordshire,United Kingdom,,
925,National Dialogue Quartet,,,,,org,2015,Peace,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",,,,,
929,F. Duncan M.,Haldane,United Kingdom,GB,London,male,2016,Physics,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",Princeton University,Princeton NJ,USA,45.68753334,-112.4943339
948,International Campaign to Abolish Nuclear Weapons,,,,,org,2017,Peace,"""for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons""",,,,,
115,Steven,Weinberg,USA,US,New York NY,male,1979,Physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",Harvard University,Cambridge MA,USA,45.68753334,-112.4943339
149,David M.,Lee,USA,US,Rye NY,male,1996,Physics,"""for their discovery of superfluidity in helium-3""",Cornell University,Ithaca NY,USA,45.68753334,-112.4943339
179,Frederick,Soddy,United Kingdom,GB,Eastbourne,male,1921,Chemistry,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",University of Oxford,Oxford,United Kingdom,,
198,Richard,Kuhn,Austria-Hungary (now Austria),AT,Vienna,male,1938,Chemistry,"""for his work on carotenoids and vitamins""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,51.10627344,10.38171087
66,John,Bardeen,USA,US,Madison WI,male,1956,Physics,"""for their researches on semiconductors and their discovery of the transistor effect""",University of Illinois,Urbana IL,USA,45.68753334,-112.4943339
4,Henri,Becquerel,France,FR,Paris,male,1903,Physics,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",École Polytechnique,Paris,France,42.18202918,-2.754422149
16,Wilhelm,Wien,Prussia (now Russia),RU,Gaffken (now Parusnoye),male,1911,Physics,"""for his discoveries regarding the laws governing the radiation of heat""",Würzburg University,Würzburg,Germany,51.10627344,10.38171087
61,Max,Born,Germany (now Poland),PL,Breslau (now Wroclaw),male,1954,Physics,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""",Edinburgh University,Edinburgh,United Kingdom,,
78,Eugene,Wigner,Austria-Hungary (now Hungary),HU,Budapest,male,1963,Physics,"""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles""",Princeton University,Princeton NJ,USA,45.68753334,-112.4943339
214,Archer J.P.,Martin,United Kingdom,GB,London,male,1952,Chemistry,"""for their invention of partition chromatography""",National Institute for Medical Research,London,United Kingdom,,
282,Mario J.,Molina,Mexico,MX,Mexico City,male,1995,Chemistry,"""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""",Massachusetts Institute of Technology (MIT),Cambridge MA,USA,45.68753334,-112.4943339
285,Sir Harold,Kroto,United Kingdom,GB,Wisbech Cambridgeshire,male,1996,Chemistry,"""for their discovery of fullerenes""",University of Sussex,Brighton,United Kingdom,,
324,Edgar,Adrian,United Kingdom,GB,London,male,1932,Medicine,"""for their discoveries regarding the functions of neurons""",University of Cambridge,Cambridge,United Kingdom,,
108,Sir Nevill F.,Mott,United Kingdom,GB,Leeds,male,1977,Physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",University of Cambridge,Cambridge,United Kingdom,,
141,Pierre-Gilles,de Gennes,France,FR,Paris,male,1991,Physics,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers""",Collège de France,Paris,France,42.18202918,-2.754422149
206,Wendell M.,Stanley,USA,US,Ridgeville IN,male,1946,Chemistry,"""for their preparation of enzymes and virus proteins in a pure form""",Rockefeller Institute for Medical Research,Princeton NJ,USA,45.68753334,-112.4943339
431,César,Milstein,Argentina,AR,Bahia Blanca,male,1984,Medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,
479,Alfred,Fried,Austria,AT,Vienna,male,1911,Peace,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",,,,,
487,Fridtjof,Nansen,Norway,NO,Kristiania (now Oslo),male,1922,Peace,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",,,,,
519,Albert,Lutuli,Southern Rhodesia (now Zimbabwe),ZW,Bulawayo,male,1960,Peace,"""for his non-violent struggle against apartheid""",,,,,
549,Oscar,Arias Sánchez,Costa Rica,CR,Heredia,male,1987,Peace,"""for his work for lasting peace in Central America""",,,,,
580,Paul,Heyse,Prussia (now Germany),DE,Berlin,male,1910,Literature,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",,,,,
583,Rabindranath,Tagore,India,IN,Calcutta,male,1913,Literature,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",,,,,
587,Henrik,Pontoppidan,Denmark,DK,Fredericia,male,1917,Literature,"""for his authentic descriptions of present-day life in Denmark""",,,,,
589,Knut,Hamsun,Norway,NO,Lom,male,1920,Literature,"""for his monumental work <I>Growth of the Soil</I>""",,,,,
658,Elias,Canetti,Bulgaria,BG,Ruse,male,1981,Literature,"""for writings marked by a broad outlook a wealth of ideas and artistic power""",,,,,
665,Naguib,Mahfouz,Egypt,EG,Cairo,male,1988,Literature,"""who through works rich in nuance - now clear-sightedly realistic now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",,,,,
671,Kenzaburo,Oe,Japan,JP,Uchiko,male,1994,Literature,"""who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today""",,,,,
688,Milton,Friedman,USA,US,Brooklyn NY,male,1976,Economics,"""for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy""",University of Chicago,Chicago IL,USA,45.68753334,-112.4943339
743,Barry,Sharpless,USA,US,Philadelphia PA,male,2001,Chemistry,"""for his work on chirally catalysed oxidation reactions""",The Scripps Research Institute,La Jolla CA,USA,45.68753334,-112.4943339
767,Vitaly L.,Ginzburg,Russia,RU,Moscow,male,2003,Physics,"""for pioneering contributions to the theory of superconductors and superfluids""",P.N. Lebedev Physical Institute,Moscow,Russia,61.98434174,96.69345577
810,Grameen Bank,,,,,org,2006,Peace,"""for their efforts to create economic and social development from below""",,,,,
832,Jean-Marie Gustave,Le Clézio,France,FR,Nice,male,2008,Literature,"""author of new departures poetic adventure and sensual ecstasy explorer of a humanity beyond and below the reigning civilization""",,,,,
843,Ada E.,Yonath,British Mandate of Palestine (now Israel),IL,Jerusalem,female,2009,Chemistry,"""for studies of the structure and function of the ribosome""",Weizmann Institute of Science,Rehovot,Israel,31.44486066,34.99642345
854,Mario,Vargas Llosa,Peru,PE,Arequipa,male,2010,Literature,"""for his cartography of structures of power and his trenchant images of the individual's resistance revolt and defeat""",,,,,
907,Hiroshi,Amano,Japan,JP,Hamamatsu,male,2014,Physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",Nagoya University,Nagoya,Japan,37.55262259,137.9799595
912,Patrick,Modiano,France,FR,Paris,male,2014,Literature,"""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation""",,,,,
918,Youyou,Tu,China,CN,Zhejiang Ningbo,female,2015,Medicine,"""for her discoveries concerning a novel therapy against Malaria""",China Academy of Traditional Chinese Medicine,Beijing,China,36.56020627,103.8317513
958,James P.,Allison,USA,US,Alice TX,male,2018,Medicine,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",Parker Institute for Cancer Immunotherapy,San Francisco CA,USA,45.68753334,-112.4943339
963,Frances H.,Arnold,USA,US,Pittsburgh PA,female,2018,Chemistry,"""for the directed evolution of enzymes""",California Institute of Technology (Caltech),Pasadena CA,USA,45.68753334,-112.4943339
965,Sir Gregory P.,Winter,United Kingdom,GB,Leicester,male,2018,Chemistry,"""for the phage display of peptides and antibodies""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,
71,Igor Y.,Tamm,Russia,RU,Vladivostok,male,1958,Physics,"""for the discovery and the interpretation of the Cherenkov effect""",Lomonosov Moscow State University,Moscow,USSR (now Russia),61.98434174,96.69345577
136,Hans G.,Dehmelt,Prussia (now Germany),DE,Görlitz,male,1989,Physics,"""for the development of the ion trap technique""",University of Washington,Seattle WA,USA,45.68753334,-112.4943339
391,Max,Delbrück,Germany,DE,Berlin,male,1969,Medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",California Institute of Technology (Caltech),Pasadena CA,USA,45.68753334,-112.4943339
392,Alfred D.,Hershey,USA,US,Owosso MI,male,1969,Medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",Carnegie Institution of Washington,Long Island New York NY,USA,45.68753334,-112.4943339
438,Gertrude B.,Elion,USA,US,New York NY,female,1988,Medicine,"""for their discoveries of important principles for drug treatment""",Wellcome Research Laboratories,Research Triangle Park NC,USA,45.68753334,-112.4943339
442,Joseph E.,Murray,USA,US,Milford MA,male,1990,Medicine,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Brigham and Women's Hospital,Boston MA,USA,45.68753334,-112.4943339
455,Peter C.,Doherty,Australia,AU,Brisbane,male,1996,Medicine,"""for their discoveries concerning the specificity of the cell mediated immune defence""",St. Jude Children's Research Hospital,Memphis TN,USA,45.68753334,-112.4943339
497,Nicholas Murray,Butler,USA,US,Elizabeth NJ,male,1931,Peace,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",Columbia University,New York NY,USA,45.68753334,-112.4943339
529,Willy,Brandt,Germany,DE,Lübeck,male,1971,Peace,"""for paving the way for a meaningful dialogue between East and West""",,,,,
531,Le Duc Tho,,Vietnam,VN,Nam Ha province,male,1973,Peace,"""for jointly having negotiated a cease fire in Vietnam in 1973""",,,,,
552,Mikhail,Gorbachev,USSR (now Russia),RU,Privolnoye,male,1990,Peace,"""for the leading role he played in the radical changes in East-West relations""",,,,,
564,International Campaign to Ban Landmines,,,,,org,1997,Peace,"""for their work for the banning and clearing of anti-personnel mines""",,,,,
574,José,Echegaray,Spain,ES,Madrid,male,1904,Literature,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",,,,,
594,Wladyslaw,Reymont,Russian Empire (now Poland),PL,Kobiele Wielkie,male,1924,Literature,"""for his great national epic <I>The Peasants</I>""",,,,,
650,Harry,Martinson,Sweden,SE,Jämshög,male,1974,Literature,"""for writings that catch the dewdrop and reflect the cosmos""",,,,,
661,Jaroslav,Seifert,Austria-Hungary (now Czech Republic),CZ,Prague,male,1984,Literature,"""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",,,,,
711,John C.,Harsanyi,Hungary,HU,Budapest,male,1994,Economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",University of California,Berkeley CA,USA,45.68753334,-112.4943339
718,Myron,Scholes,Canada,CA,Timmins ON,male,1997,Economics,"""for a new method to determine the value of derivatives""",Long Term Capital Management,Greenwich CT,USA,45.68753334,-112.4943339
744,George A.,Akerlof,USA,US,New Haven CT,male,2001,Economics,"""for their analyses of markets with asymmetric information""",University of California,Berkeley CA,USA,45.68753334,-112.4943339
779,Aaron,Ciechanover,British Protectorate of Palestine (now Israel),IL,Haifa,male,2004,Chemistry,"""for the discovery of ubiquitin-mediated protein degradation""",Technion - Israel Institute of Technology,Haifa,Israel,31.44486066,34.99642345
801,Harold,Pinter,United Kingdom,GB,London,male,2005,Literature,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",,,,,
839,Willard S.,Boyle,Canada,CA,Amherst NS,male,2009,Physics,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",Bell Laboratories,Murray Hill NJ,USA,45.68753334,-112.4943339
869,Ellen,Johnson Sirleaf,Liberia,LR,Monrovia,female,2011,Peace,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",,,,,
887,François,Englert,Belgium,BE,Etterbeek,male,2013,Physics,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",Université Libre de Bruxelles,Brussels,Belgium,50.63754659,4.639669963
896,Robert J.,Shiller,USA,US,Detroit MI,male,2013,Economics,"""for their empirical analysis of asset prices""",Yale University,New Haven CT,USA,45.68753334,-112.4943339
943,Kip S.,Thorne,USA,US,Logan UT,male,2017,Physics,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",LIGO/VIRGO Collaboration,,,,
218,Vincent,du Vigneaud,USA,US,Chicago IL,male,1955,Chemistry,"""for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone""",Cornell University,Ithaca NY,USA,45.68753334,-112.4943339
269,Charles J.,Pedersen,Korea (now South Korea),KR,Pusan,male,1987,Chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Du Pont,Wilmington DE,USA,45.68753334,-112.4943339
276,Richard R.,Ernst,Switzerland,CH,Winterthur,male,1991,Chemistry,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,46.79908592,8.215912662
289,Jens C.,Skou,Denmark,DK,Lemvig,male,1997,Chemistry,"""for the first discovery of an ion-transporting enzyme Na+ K+ -ATPase""",Aarhus University,Aarhus,Denmark,55.96592133,10.050229
383,Peyton,Rous,USA,US,Baltimore MD,male,1966,Medicine,"""for his discovery of tumour-inducing viruses""",Rockefeller University,New York NY,USA,45.68753334,-112.4943339
388,Robert W.,Holley,USA,US,Urbana IL,male,1968,Medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",Cornell University,Ithaca NY,USA,45.68753334,-112.4943339
5,Pierre,Curie,France,FR,Paris,male,1903,Physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,42.18202918,-2.754422149
29,Manne,Siegbahn,Sweden,SE,Örebro,male,1924,Physics,"""for his discoveries and research in the field of X-ray spectroscopy""",Uppsala University,Uppsala,Sweden,62.7773784,16.75428435
31,Gustav,Hertz,Germany,DE,Hamburg,male,1925,Physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",Halle University,Halle,Germany,51.10627344,10.38171087
95,Leon N.,Cooper,USA,US,New York NY,male,1972,Physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",Brown University,Providence RI,USA,45.68753334,-112.4943339
130,J. Georg,Bednorz,West Germany (now Germany),DE,Neuenkirchen,male,1987,Physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",IBM Zurich Research Laboratory,Rüschlikon,Switzerland,46.79908592,8.215912662
135,Norman F.,Ramsey,USA,US,Washington DC,male,1989,Physics,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",Harvard University,Cambridge MA,USA,45.68753334,-112.4943339
172,Victor,Grignard,France,FR,Cherbourg,male,1912,Chemistry,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",Nancy University,Nancy,France,42.18202918,-2.754422149
201,George,de Hevesy,Austria-Hungary (now Hungary),HU,Budapest,male,1943,Chemistry,"""for his work on the use of isotopes as tracers in the study of chemical processes""",Stockholm University,Stockholm,Sweden,62.7773784,16.75428435
437,Sir James W.,Black,Scotland,GB,Uddingston,male,1988,Medicine,"""for their discoveries of important principles for drug treatment""",London University King's College Hospital Medical School,London,United Kingdom,,
482,International Committee of the Red Cross,,,,,org,1963,Peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",,,,,
489,Charles G.,Dawes,USA,US,Marietta OH,male,1925,Peace,"""for his crucial role in bringing about the Dawes Plan""",,,,,
530,Henry,Kissinger,Germany,DE,Fürth,male,1973,Peace,"""for jointly having negotiated a cease fire in Vietnam in 1973""",,,,,
579,Selma,Lagerlöf,Sweden,SE,Mårbacka,female,1909,Literature,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",,,,,
613,Frans Eemil,Sillanpää,Russian Empire (now Finland),FI,Hämeenkyrö,male,1939,Literature,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",,,,,
662,Claude,Simon,Madagascar,MG,Tananarive (now Antananarivo),male,1985,Literature,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",,,,,
695,James,Tobin,USA,US,Champaign IL,male,1981,Economics,"""for his analysis of financial markets and their relations to expenditure decisions employment production and prices""",Yale University,New Haven CT,USA,45.68753334,-112.4943339
