awardyear,category,categoryfullname,sortorder,prizeamount,motivation,award_link,id,name,fullname,gender,laureate_link,birth_date,birth_citynow,birth_continent,birth_countryNow,birth_locationstring
1905,Chemistry,The Nobel Prize in Chemistry,1,138089,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1905,164,Adolf von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,male,http://masterdataapi.nobelprize.org/2/laureate/164,1835-10-31,Berlin,Europe,Germany,"Berlin, Prussia (now Germany)"
1928,Chemistry,The Nobel Prize in Chemistry,1,156939,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1928,185,Adolf Windaus,Adolf Otto Reinhold Windaus,male,http://masterdataapi.nobelprize.org/2/laureate/185,1876-12-25,Berlin,Europe,Germany,"Berlin, Germany"
1980,Peace,The Nobel Peace Prize,1,880000,"for being a source of inspiration to repressed people, especially in Latin America",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1980,541,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,male,http://masterdataapi.nobelprize.org/2/laureate/541,26/11/1931,Buenos Aires,South America,Argentina,"Buenos Aires, Argentina"
1999,Chemistry,The Nobel Prize in Chemistry,1,7900000,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1999,292,Ahmed Zewail,Ahmed H. Zewail,male,http://masterdataapi.nobelprize.org/2/laureate/292,26/02/1946,Damanhur,Africa,Egypt,"Damanhur, Egypt"
2010,Chemistry,The Nobel Prize in Chemistry,3,10000000,for palladium-catalyzed cross couplings in organic synthesis,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2010,853,Akira Suzuki,Akira Suzuki,male,http://masterdataapi.nobelprize.org/2/laureate/853,12/09/1930,Mukawa,Asia,Japan,"Mukawa, Japan"
2019,Chemistry,The Nobel Prize in Chemistry,3,9000000,for the development of lithium-ion batteries,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2019,978,Akira Yoshino,Akira Yoshino,male,http://masterdataapi.nobelprize.org/2/laureate/978,30/01/1948,Suita,Asia,Japan,"Suita, Japan"
2007,Peace,The Nobel Peace Prize,2,10000000,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2007,819,Al Gore,Albert Arnold (Al) Gore Jr.,male,http://masterdataapi.nobelprize.org/2/laureate/819,31/03/1948,"Washington, DC",North America,USA,"Washington, DC, USA"
2000,Chemistry,The Nobel Prize in Chemistry,1,9000000,for the discovery and development of conductive polymers,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2000,729,Alan Heeger,Alan J. Heeger,male,http://masterdataapi.nobelprize.org/2/laureate/729,22/01/1936,"Sioux City, IA",North America,USA,"Sioux City, IA, USA"
1911,Peace,The Nobel Peace Prize,2,140695,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1911,479,Alfred Fried,Alfred Hermann Fried,male,http://masterdataapi.nobelprize.org/2/laureate/479,1864-11-11,Vienna,Europe,Austria,"Vienna, Austria"
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,265000,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1963,376,Alan Hodgkin,Alan Lloyd Hodgkin,male,http://masterdataapi.nobelprize.org/2/laureate/376,5/02/1914,Banbury,Europe,United Kingdom,"Banbury, United Kingdom"
2000,Chemistry,The Nobel Prize in Chemistry,2,9000000,for the discovery and development of conductive polymers,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2000,730,Alan MacDiarmid,Alan G. MacDiarmid,male,http://masterdataapi.nobelprize.org/2/laureate/730,14/04/1927,Masterton,Oceania,New Zealand,"Masterton, New Zealand"
1907,Physics,The Nobel Prize in Physics,1,138796,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1907,11,Albert A. Michelson,Albert Abraham Michelson,male,http://masterdataapi.nobelprize.org/2/laureate/11,1852-12-19,Strzelno,Europe,Poland,"Strelno, Prussia (now Strzelno, Poland)"
1957,Literature,The Nobel Prize in  Literature,1,208629,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1957,628,Albert Camus,Albert Camus,male,http://masterdataapi.nobelprize.org/2/laureate/628,7/11/1913,Mondovi,Africa,Algeria,"Mondovi, French Algeria (now Algeria)"
1974,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,550000,for their discoveries concerning the structural and functional organization of the cell,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1974,403,Albert Claude,Albert Claude,male,http://masterdataapi.nobelprize.org/2/laureate/403,1898-08-24,Longlier,Europe,Belgium,"Longlier, Belgium"
1921,Physics,The Nobel Prize in Physics,1,121573,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1921,26,Albert Einstein,Albert Einstein,male,http://masterdataapi.nobelprize.org/2/laureate/26,1879-03-14,Ulm,Europe,Germany,"Ulm, Germany"
2007,Physics,The Nobel Prize in Physics,1,10000000,for the discovery of Giant Magnetoresistance,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2007,814,Albert Fert,Albert Fert,male,http://masterdataapi.nobelprize.org/2/laureate/814,7/03/1938,Carcassonne,Europe,France,"Carcassonne, France"
1902,Peace,The Nobel Peace Prize,2,141847,for his eminently practical administration of the Inter-Parliamentary Union,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1902,465,Albert Gobat,Charles Albert Gobat,male,http://masterdataapi.nobelprize.org/2/laureate/465,1843-05-21,Tramelan,Europe,Switzerland,"Tramelan, Switzerland"
1960,Peace,The Nobel Peace Prize,1,225987,for his non-violent struggle against apartheid,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1960,519,Albert Luthuli,Albert John Luthuli,male,http://masterdataapi.nobelprize.org/2/laureate/519,1898-00-00,Bulawayo,Africa,Zimbabwe,"Bulawayo, Southern Rhodesia (now Zimbabwe)"
1952,Peace,The Nobel Peace Prize,1,171135,"for his altruism, reverence for life, and tireless humanitarian work  which has helped making the idea of brotherhood between men and nations a living one",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1952,513,Albert Schweitzer,Albert Schweitzer,male,http://masterdataapi.nobelprize.org/2/laureate/513,1875-01-14,Kaysersberg,Europe,France,"Kaysersberg, Germany (now France)"
1937,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,158463,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1937,332,Albert Szent-Györgyi,Albert von Szent-Györgyi Nagyrápolt,male,http://masterdataapi.nobelprize.org/2/laureate/332,1893-09-16,Budapest,Europe,Hungary,"Budapest, Austria-Hungary (now Hungary)"
1910,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,140703,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1910,304,Albrecht Kossel,Albrecht Kossel,male,http://masterdataapi.nobelprize.org/2/laureate/304,1853-09-16,Rostock,Europe,Germany,"Rostock, Mecklenburg (now Germany)"
1964,Physics,The Nobel Prize in Physics,3,273000,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1964,83,Aleksandr M. Prokhorov,Aleksandr Mikhailovich Prokhorov,male,http://masterdataapi.nobelprize.org/2/laureate/83,11/07/1916,Atherton,Oceania,Australia,"Atherton, Australia"
1970,Literature,The Nobel Prize in  Literature,1,400000,for the ethical force with which he has pursued the indispensable traditions of Russian literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1970,644,Alexandr Solzhenitsyn,Aleksandr Isayevich Solzhenitsyn,male,http://masterdataapi.nobelprize.org/2/laureate/644,11/12/1918,Kislovodsk,Europe,Russia,"Kislovodsk, Russia"
2003,Physics,The Nobel Prize in Physics,1,10000000,for pioneering contributions to the theory of superconductors and superfluids,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2003,766,Alexei Abrikosov,Alexei Alexeyevich Abrikosov,male,http://masterdataapi.nobelprize.org/2/laureate/766,25/06/1928,Moscow,Europe,Russia,"Moscow, USSR (now Russia)"
1912,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,140476,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1912,306,Alexis Carrel,Alexis Carrel,male,http://masterdataapi.nobelprize.org/2/laureate/306,1873-06-28,Sainte-Foy-lès-Lyon,Europe,France,"Sainte-Foy-lès-Lyon, France"
1982,Peace,The Nobel Peace Prize,2,1150000,for their work for disarmament and nuclear and weapon-free zones,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1982,544,Alfonso García Robles,Alfonso García Robles,male,http://masterdataapi.nobelprize.org/2/laureate/544,20/03/1911,Zamora,North America,Mexico,"Zamora, Mexico"
1969,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,375000,for their discoveries concerning the replication mechanism and the genetic structure of viruses,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1969,392,Alfred D. Hershey,Alfred D. Hershey,male,http://masterdataapi.nobelprize.org/2/laureate/392,4/12/1908,"Owosso, MI",North America,USA,"Owosso, MI, USA"
1994,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,7000000,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1994,450,Alfred G. Gilman,Alfred G. Gilman,male,http://masterdataapi.nobelprize.org/2/laureate/450,1/07/1941,"New Haven, CT",North America,USA,"New Haven, CT, USA"
1966,Physics,The Nobel Prize in Physics,1,300000,for the discovery and development of optical methods for studying Hertzian resonances in atoms,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1966,87,Alfred Kastler,Alfred Kastler,male,http://masterdataapi.nobelprize.org/2/laureate/87,3/05/1902,Guebwiller,Europe,France,"Guebwiller, Germany (now France)"
1913,Chemistry,The Nobel Prize in Chemistry,1,143010,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1913,174,Alfred Werner,Alfred Werner,male,http://masterdataapi.nobelprize.org/2/laureate/174,1866-12-12,Mulhouse,Europe,France,"Mulhouse, France"
2013,Literature,The Nobel Prize in  Literature,1,8000000,master of the contemporary short story,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2013,892,Alice Munro,Alice Munro,female,http://masterdataapi.nobelprize.org/2/laureate/892,10/07/1931,Wingham,North America,Canada,"Wingham, Canada"
1979,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,800000,for the development of computer assisted tomography,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1979,417,Allan M. Cormack,Allan M. Cormack,male,http://masterdataapi.nobelprize.org/2/laureate/417,23/02/1924,Johannesburg,Africa,South Africa,"Johannesburg, South Africa"
1911,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,140695,for his work on the dioptrics of the eye,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1911,305,Allvar Gullstrand,Allvar Gullstrand,male,http://masterdataapi.nobelprize.org/2/laureate/305,1862-06-05,Landskrona,Europe,Sweden,"Landskrona, Sweden"
1907,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,138796,in recognition of his work on the role played by protozoa in causing diseases,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1907,300,Alphonse Laveran,Charles Louis Alphonse Laveran,male,http://masterdataapi.nobelprize.org/2/laureate/300,1845-06-18,Paris,Europe,France,"Paris, France"
1982,Peace,The Nobel Peace Prize,1,1150000,for their work for disarmament and nuclear and weapon-free zones,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1982,543,Alva Myrdal,Alva Myrdal,female,http://masterdataapi.nobelprize.org/2/laureate/543,31/01/1902,Uppsala,Europe,Sweden,"Uppsala, Sweden"
2012,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,8000000,for the theory of stable allocations and the practice of market design,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2012,882,Alvin E. Roth,Alvin E. Roth,male,http://masterdataapi.nobelprize.org/2/laureate/882,18/12/1951,"New York, NY",North America,USA,"New York, NY, USA"
1998,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,7600000,for his contributions to welfare economics,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/1998,719,Amartya Sen,Amartya Sen,male,http://masterdataapi.nobelprize.org/2/laureate/719,3/11/1933,Santiniketan,Asia,India,"Santiniketan, India"
1947,Peace,The Nobel Peace Prize,2,146115,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1947,509,American Friends Service Committee,NULL,NULL,http://masterdataapi.nobelprize.org/2/laureate/509,NULL,NULL,NULL,NULL,NULL
1977,Peace,The Nobel Peace Prize,1,700000,for worldwide respect for human rights,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1977,537,Amnesty International,NULL,NULL,http://masterdataapi.nobelprize.org/2/laureate/537,NULL,NULL,NULL,NULL,NULL
1921,Literature,The Nobel Prize in  Literature,1,121573,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1921,590,Anatole France,Anatole France,male,http://masterdataapi.nobelprize.org/2/laureate/590,1844-04-16,Paris,Europe,France,"Paris, France"
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,200123,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1956,360,André F. Cournand,André Frédéric Cournand,male,http://masterdataapi.nobelprize.org/2/laureate/360,1895-09-24,Paris,Europe,France,"Paris, France"
2010,Physics,The Nobel Prize in Physics,1,10000000,for groundbreaking experiments regarding the two-dimensional material graphene,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2010,849,Andre Geim,Andre Geim,male,http://masterdataapi.nobelprize.org/2/laureate/849,21/10/1958,Sochi,Europe,Russia,"Sochi, Russia"
1947,Literature,The Nobel Prize in  Literature,1,146115,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1947,618,André Gide,André Paul Guillaume Gide,male,http://masterdataapi.nobelprize.org/2/laureate/618,1869-11-22,Paris,Europe,France,"Paris, France"
1965,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,282000,for their discoveries concerning genetic control of enzyme and virus synthesis,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1965,381,André Lwoff,André Lwoff,male,http://masterdataapi.nobelprize.org/2/laureate/381,8/05/1902,Ainay-le-Château,Europe,France,"Ainay-le-Château, France"
1975,Peace,The Nobel Peace Prize,1,630000,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1975,534,Andrei Sakharov,Andrei Dmitrievich Sakharov,male,http://masterdataapi.nobelprize.org/2/laureate/534,21/05/1921,Moscow,Europe,Russia,"Moscow, Russia"
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,265000,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1963,377,Andrew Huxley,Andrew Fielding Huxley,male,http://masterdataapi.nobelprize.org/2/laureate/377,22/11/1917,Hampstead,Europe,United Kingdom,"Hampstead, United Kingdom"
1977,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,700000,for their discoveries concerning the peptide hormone production of the brain,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1977,412,Andrew V. Schally,Andrew V. Schally,male,http://masterdataapi.nobelprize.org/2/laureate/412,30/11/1926,Vilnius,Europe,Lithuania,"Wilno, Poland (now Vilnius, Lithuania)"
2006,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,10000000,for their discovery of RNA interference - gene silencing by double-stranded RNA,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2006,802,Andrew Z. Fire,Andrew Z. Fire,male,http://masterdataapi.nobelprize.org/2/laureate/802,27/04/1959,"Stanford, CA",North America,USA,"Stanford, CA, USA"
2015,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,8000000,"for his analysis of consumption, poverty, and welfare",https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2015,926,Angus Deaton,Angus Deaton,male,http://masterdataapi.nobelprize.org/2/laureate/926,19/10/1945,Edinburgh,Europe,Scotland,"Edinburgh, Scotland"
2003,Physics,The Nobel Prize in Physics,3,10000000,for pioneering contributions to the theory of superconductors and superfluids,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2003,768,Anthony J. Leggett,Anthony J. Leggett,male,http://masterdataapi.nobelprize.org/2/laureate/768,26/03/1938,London,Europe,United Kingdom,"London, United Kingdom"
1974,Physics,The Nobel Prize in Physics,2,550000,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1974,101,Antony Hewish,Antony Hewish,male,http://masterdataapi.nobelprize.org/2/laureate/101,11/05/1924,Fowey,Europe,United Kingdom,"Fowey, United Kingdom"
1978,Peace,The Nobel Peace Prize,1,725000,for jointly having negotiated peace between Egypt and Israel in 1978,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1978,538,Anwar al-Sadat,Mohamed Anwar al-Sadat,male,http://masterdataapi.nobelprize.org/2/laureate/538,25/12/1918,Mit Abu al-Kawm,Africa,Egypt,"Mit Abu al-Kawm, Egypt"
1952,Chemistry,The Nobel Prize in Chemistry,1,171135,for their invention of partition chromatography,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1952,214,Archer J.P. Martin,Archer John Porter Martin,male,http://masterdataapi.nobelprize.org/2/laureate/214,1/03/1910,London,Europe,United Kingdom,"London, United Kingdom"
1922,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,122483,for his discovery relating to the production of heat in the muscle,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1922,311,Archibald V. Hill,Archibald Vivian Hill,male,http://masterdataapi.nobelprize.org/2/laureate/311,1886-09-26,Bristol,Europe,United Kingdom,"Bristol, United Kingdom"
2013,Chemistry,The Nobel Prize in Chemistry,3,8000000,for the development of multiscale models for complex chemical systems,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2013,891,Arieh Warshel,Arieh Warshel,male,http://masterdataapi.nobelprize.org/2/laureate/891,20/11/1940,Kibbutz Sde-Nahum,Asia,Israel,"Kibbutz Sde-Nahum, British Mandate of Palestine (now Israel)"
1926,Peace,The Nobel Peace Prize,1,116960,for their crucial role in bringing about the Locarno Treaty,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1926,490,Aristide Briand,Aristide Briand,male,http://masterdataapi.nobelprize.org/2/laureate/490,1862-03-28,Nantes,Europe,France,"Nantes, France"
1948,Chemistry,The Nobel Prize in Chemistry,1,159773,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1948,208,Arne Tiselius,Arne Wilhelm Kaurin Tiselius,male,http://masterdataapi.nobelprize.org/2/laureate/208,10/08/1902,Stockholm,Europe,Sweden,"Stockholm, Sweden"
1978,Physics,The Nobel Prize in Physics,2,725000,for their discovery of cosmic microwave background radiation,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1978,111,Arno Penzias,Arno Allan Penzias,male,http://masterdataapi.nobelprize.org/2/laureate/111,26/04/1933,Munich,Europe,Germany,"Munich, Germany"
2018,Physics,The Nobel Prize in Physics,1,9000000,for the optical tweezers and their application to biological systems,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2018,960,Arthur Ashkin,Arthur Ashkin,male,http://masterdataapi.nobelprize.org/2/laureate/960,2/09/1922,"New York, NY",North America,USA,"New York, NY, USA"
2015,Physics,The Nobel Prize in Physics,2,8000000,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2015,920,Arthur B. McDonald,Arthur B. McDonald,male,http://masterdataapi.nobelprize.org/2/laureate/920,29/08/1943,Sydney,North America,Canada,"Sydney, Canada"
1927,Physics,The Nobel Prize in Physics,1,126501,for his discovery of the effect named after him,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1927,33,Arthur H. Compton,Arthur Holly Compton,male,http://masterdataapi.nobelprize.org/2/laureate/33,1892-09-10,"Wooster, OH",North America,USA,"Wooster, OH, USA"
1929,Chemistry,The Nobel Prize in Chemistry,1,172760,for their investigations on the fermentation of sugar and fermentative enzymes,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1929,186,Arthur Harden,Arthur Harden,male,http://masterdataapi.nobelprize.org/2/laureate/186,1865-10-12,Manchester,Europe,United Kingdom,"Manchester, United Kingdom"
1934,Peace,The Nobel Peace Prize,1,162608,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1934,499,Arthur Henderson,Arthur Henderson,male,http://masterdataapi.nobelprize.org/2/laureate/499,1863-09-13,Glasgow,Europe,Scotland,"Glasgow, Scotland"
1959,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,220678,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1959,368,Arthur Kornberg,Arthur Kornberg,male,http://masterdataapi.nobelprize.org/2/laureate/368,3/03/1918,"Brooklyn, NY",North America,USA,"Brooklyn, NY, USA"
1981,Physics,The Nobel Prize in Physics,2,1000000,for their contribution to the development of laser spectroscopy,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1981,119,Arthur L. Schawlow,Arthur Leonard Schawlow,male,http://masterdataapi.nobelprize.org/2/laureate/119,5/05/1921,"Mount Verno, NY",North America,USA,"Mount Verno, NY, USA"
1971,Physics,The Nobel Prize in Physics,1,450000,for his invention and development of the holographic method,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1971,93,Dennis Gabor,Dennis Gabor,male,http://masterdataapi.nobelprize.org/2/laureate/93,5/06/1900,Budapest,Europe,Hungary,"Budapest, Hungary"
1945,Chemistry,The Nobel Prize in Chemistry,1,121333,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1945,203,Artturi Virtanen,Artturi Ilmari Virtanen,male,http://masterdataapi.nobelprize.org/2/laureate/203,1895-01-15,Helsinki,Europe,Finland,"Helsinki, Russian Empire (now Finland)"
2000,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,9000000,for their discoveries concerning signal transduction in the nervous system,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2000,722,Arvid Carlsson,Arvid Carlsson,male,http://masterdataapi.nobelprize.org/2/laureate/722,25/01/1923,Uppsala,Europe,Sweden,"Uppsala, Sweden"
